totalArea,floorNumber,floorsTotal,wallsMaterial,latitude,longitude,price
44,1,5,5,57.009942,40.985828,2000
60,7,12,,56.9726955,41.0108145,8000
42,3,5,,56.967634,41.0080019,9000
10,5,6,5,57.0109264,40.9762765,320000
69,2,2,,56.9958111,40.913111,330000
16,1,5,5,57.0003335,40.9588266,395000
50,3,6,5,57.0003335,40.9588266,450000
90,2,4,5,57.0003335,40.9588266,450000
60,2,2,,56.9672929,40.9781581,465000
78,3,5,,56.9633693,40.9940312,530000
60,2,2,5,56.988575,41.028714,550000
13,1,5,,56.981097,40.9686989,590000
66,2,2,,56.9790553,40.9544629,600000
59,2,2,1,57.0275397,40.9851671,640000
59,2,2,1,57.0275397,40.9851671,650000
27,1,1,,57.0265466,40.9572136,660000
18,5,5,,56.9851613,41.0320181,660000
35,1,2,,57.0414186,40.942528,670000
42,4,5,,56.9777666,40.9312211,680000
20,1,2,,57.003097,41.0263641,680000
30,4,5,,56.9777666,40.9312211,690000
17,4,5,,56.985461,41.031888,690000
12,3,5,,56.9847484,41.0303625,700000
14,5,5,,56.9851613,41.0320181,700000
36,1,2,,57.0281435,40.9199001,700000
35,1,2,,57.0184175,40.9199441,700000
36,1,2,5,57.028047,40.920856,700000
37,2,2,,56.9996062,40.9295462,700000
27,1,2,,57.027557,40.9857757,700000
38,1,1,1,57.0281929,40.9517945,700000
42,2,2,,57.0368266,40.9488814,720000
37,1,2,5,57.028047,40.920856,730000
37,2,2,,56.9996062,40.9295462,730000
17,5,5,,56.9847484,41.0303625,750000
36,2,2,,57.0151997,41.0133652,750000
24,2,4,5,57.0027338,40.8846511,770000
32,2,2,5,57.028678,40.921511,780000
26,1,1,,57.0094489,40.9518276,780000
20,5,5,,56.981097,40.9686989,790000
37,2,2,7,57.0366008,40.9509271,790000
30,2,2,1,56.9854112,40.9574304,790000
25,1,2,,57.0036207,40.9544496,790000
36,1,2,7,57.0174626,40.919573,790000
20,5,5,,56.981097,40.9686989,790000
40,1,2,6,57.019335,41.0089489,800000
37,2,2,7,57.0366008,40.9509271,800000
29,2,2,,56.978551,40.9623192,800000
46,2,2,1,57.0278613,40.9238017,800000
30,1,2,,56.985089,40.958893,800000
30,1,1,,56.9902325,40.9591682,820000
17,1,5,,56.9577776,41.0206699,830000
37,2,2,,57.0418526,40.9660244,840000
25,1,2,1,57.005147,40.947036,850000
36,1,2,1,56.984471,40.957245,850000
17,5,5,,56.9851478,41.0329352,850000
38,2,2,,56.9863408,40.9607856,850000
28,1,2,5,57.010301,40.953061,850000
25,2,2,,57.0081549,40.950237,860000
26,2,9,,57.0199086,40.9485202,860000
34,4,4,5,57.0003335,40.9588266,860000
43,2,2,,56.9866422,40.9648638,880000
43,2,2,5,56.979952,40.955566,880000
26,2,9,,57.019956,40.9483104,880000
26,2,9,,57.019956,40.9483104,880000
26,1,3,,56.9726955,41.0108145,890000
31,1,1,,57.0349749,41.0237487,890000
22,6,10,,57.0019052,40.9305844,897000
21,2,3,,56.989445,40.9747708,899000
34,1,2,,56.996158,41.004456,900000
50,2,2,5,56.9822836,40.9577087,900000
35,1,2,,56.9847302,40.9980597,900000
18,2,5,5,56.9590681,41.0231676,900000
14,3,5,,56.9851613,41.0320181,905000
27,1,3,,56.996018,41.0552408,910000
45,1,2,5,57.0172287,40.9183859,920000
30,5,5,,56.978279,40.9397259,920000
28,5,18,,56.9725898,41.0262492,925000
32,1,2,,56.9863408,40.9607856,930000
26,3,4,5,57.0027338,40.8846511,930000
36,1,2,,57.0151303,40.9159265,950000
43,1,2,1,57.005773,40.940987,950000
14,2,5,5,56.9590681,41.0231676,950000
22,4,5,,56.9808656,40.9382467,950000
18,3,5,,56.9865608,41.0287607,950000
28,1,3,,56.98062,40.963994,950000
148,2,2,5,56.9908,40.977883,950000
17,3,5,,56.9847045,41.0317752,950000
26,3,5,,56.9563534,41.039642,950000
33,5,5,,56.9808656,40.9382467,950000
32,5,5,,56.978279,40.9397259,950000
26,2,4,,56.9726955,41.0108145,960000
28,6,18,,56.972483,41.023227,963000
28,6,18,,56.9712298,41.0268471,963000
28,6,18,,56.9712298,41.0268471,968000
28,3,18,,56.9712298,41.0268471,968000
28,17,18,,56.973289,41.0237595,968000
28,6,18,,56.9712298,41.0268471,968000
28,6,18,,56.9726955,41.0108145,968000
28,2,18,,56.967091,41.0208024,968000
28,9,18,,56.967091,41.0208024,968000
28,17,18,,56.967091,41.0208024,968000
28,18,18,,56.967091,41.0208024,968000
28,13,18,,56.966161,41.0253887,970000
28,2,18,,56.9712298,41.0268471,971000
26,3,5,,56.9563534,41.039642,977000
26,4,5,,56.9563534,41.039642,977000
26,5,5,,56.9563534,41.039642,977000
25,2,5,,56.9563534,41.039642,977000
25,4,5,,56.9563534,41.039642,977000
25,5,5,,56.9563534,41.039642,977000
29,11,18,,56.9712298,41.0268471,980000
27,1,3,,56.9726955,41.0108145,980000
70,2,2,5,56.996354,40.9400091,980000
21,5,5,5,56.970941,41.0062721,990000
38,3,4,5,57.0028214,40.8839657,990000
42,1,1,5,57.0066165,40.9933654,990000
24,1,5,5,56.9590681,41.0231676,990000
37,3,4,,57.0028214,40.8839657,990000
34,1,2,5,57.017755,41.022722,990000
32,1,3,5,56.980286,41.0375211,990000
42,1,1,,57.0349749,41.0237487,990000
80,1,5,5,56.9760999,41.0488185,990000
25,2,2,5,56.996554,40.986817,990000
28,2,18,,56.9725898,41.0262492,992000
28,2,18,,56.967091,41.0208024,992000
28,18,18,,56.967091,41.0208024,992000
28,2,18,,56.967091,41.0208024,992000
28,2,18,,56.973586,40.9742886,992000
30,1,5,,56.9563534,41.039642,993000
32,3,3,,56.9851478,41.0329352,995000
28,5,18,,56.9712298,41.0268471,995000
30,5,5,5,57.007612,40.949318,999000
46,2,2,5,57.006529,40.994697,1000000
34,2,2,5,57.0259251,41.0111984,1000000
30,5,5,,57.0077986,40.9480101,1000000
34,1,2,,57.0151303,40.9159265,1000000
30,1,2,,57.0299794,40.9205874,1000000
35,2,2,,57.0332093,41.0003373,1000000
35,1,2,,57.0148318,41.0138069,1000000
35,1,2,,57.0154321,41.0137076,1000000
31,5,5,5,57.007612,40.949318,1020000
37,2,2,1,57.0145366,40.9122201,1020000
31,5,5,,57.0392589,40.9597509,1020000
28,2,18,,56.9712298,41.0268471,1024000
24,1,8,,57.001397,40.935546,1025000
25,1,8,,57.001397,40.935546,1025000
30,3,4,5,57.035909,40.988028,1025000
21,1,5,5,57.017158,40.9604854,1030000
22,1,5,5,57.017158,40.9604854,1030000
48,2,2,,57.0033112,40.8855509,1030000
31,5,5,,57.027862,40.9578421,1030000
36,5,5,,57.0446483,40.9444397,1030000
27,3,3,,56.9726955,41.0108145,1030000
46,1,2,,57.0349765,40.925136,1040000
32,3,5,,57.0366199,40.9830339,1040000
26,5,5,,56.9536959,41.0432389,1044000
28,2,18,,56.9712298,41.0268471,1049000
22,3,5,5,56.972212,41.052969,1050000
28,1,3,5,57.020274,40.952346,1050000
35,1,2,,56.987073,41.015616,1050000
45,2,2,5,57.0172287,40.9183859,1050000
34,1,2,5,57.0065941,40.9946887,1050000
21,1,5,,57.008448,40.9929209,1050000
31,1,5,5,56.975743,40.969545,1050000
22,5,5,5,57.0199523,40.9587727,1050000
24,1,5,,56.9577776,41.0206699,1050000
15,3,4,,56.976655,40.9659836,1050000
31,4,5,,56.9664245,41.0440298,1050000
30,2,3,,57.0166158,40.9615807,1050000
21,5,5,,56.9733242,40.9637677,1050000
24,4,5,,56.9577776,41.0206699,1050000
29,4,5,,56.9563534,41.039642,1052000
25,5,5,,56.9563534,41.039642,1054000
24,5,5,,57.0166158,40.9615807,1059000
26,2,3,5,57.020274,40.952346,1060000
32,2,2,,56.968058,40.965846,1070000
29,2,5,,56.9563534,41.039642,1076000
36,2,2,5,57.00076,40.9686499,1080000
31,8,9,5,56.965764,40.9647801,1080000
32,3,3,,56.9767308,40.9652528,1090000
21,5,5,,57.020022,40.964068,1090000
30,4,5,4,56.9737707,41.0532697,1090000
34,5,5,,57.0003335,40.9588266,1100000
51,1,4,5,57.0027338,40.8846511,1100000
26,3,3,,56.9726955,41.0108145,1100000
30,3,3,5,56.9802412,40.9590938,1100000
25,2,3,5,57.020274,40.952346,1100000
30,3,3,,57.0299794,40.9205874,1100000
31,3,3,,56.9816251,40.9606934,1100000
53,1,2,,57.02039,41.0088819,1100000
29,5,5,,56.966892,40.9611651,1100000
31,4,5,,56.9840792,41.0128683,1100000
42,8,17,,56.9550749,40.9800691,1100000
30,4,5,4,56.9737707,41.0532697,1100000
36,3,4,,57.0032358,40.885603,1100000
31,1,5,4,56.9583895,41.017615,1100000
34,4,5,5,56.971486,41.0054469,1100000
24,5,5,,57.008448,40.9929209,1100000
29,4,5,,56.9563534,41.039642,1100000
29,4,5,,56.9563534,41.039642,1102000
29,5,5,,56.9563534,41.039642,1102000
32,10,18,,56.9712298,41.0268471,1110000
32,12,18,,56.9712298,41.0268471,1110000
32,14,18,,56.9712298,41.0268471,1111000
32,10,18,,56.9712298,41.0268471,1112000
26,3,5,5,56.989298,40.996527,1120000
31,5,5,,56.969984,41.01224,1120000
26,13,17,,56.971823,40.9763411,1120000
26,13,17,,56.971823,40.9763411,1120000
26,13,17,,56.971823,40.9763411,1120000
28,13,17,,56.9737395,40.9811957,1120000
26,13,17,,56.9737395,40.9811957,1120000
25,10,14,,56.971523,40.9709699,1125000
