DistanceToCenter,Total,Living,Kitchen,Repair,RoomsNumber,FurnitureExistence,FloorNumber,Year,NumberOfFloors,RoofType,BuildingType,OverlappingsType,MaterialWalls,PowerСlass,Chute,Playground,Sportsground,PowerSupply,ColdWaterSupply,HotWaterSupply,HeatSupply,GasSupply,WaterDisposal,FireSystem,Id,Adress,Region,City,District,Street,House,Latitude,Longitude,Cost
2571.60001,69,29,20,,3,False,9,,14,,,,,,False,False,False,,,,,,,False,29," Иваново,  Фрунзенский район, Тейковский пер /ПЛОЩАДЬПОБЕДЫ",Ивановская область, Иваново, Фрунзенский, Тейковский пер /ПЛОЩАДЬПОБЕДЫ,,56.9908674,40.9306046,3030000
3472.858343,56,38,6,,3,False,5,,5,,,,,,False,False,False,,,,,,,False,30," Иваново,  Ленинский район, Чапаева пер,17",Ивановская область, Иваново, Ленинский, Чапаева пер,17,56.972864,41.0072491,2400000
1551.497166,51,28,8,,2,False,9,,10,,,,,,False,False,False,,,,,,,False,31," Иваново,  Ленинский район, 10 Августа ул /улица.Колотилова, д.10",Ивановская область, Иваново, Ленинский, 10 Августа  /ица.Колотилова,д.10,56.99216,40.9952619,2800000
5193.642263,58,30,10,,2,False,1,1979,9,2,,3,5,,False,True,False,,,,,,,False,32," Иваново,  Ленинский район, Профессиональная ул,35",Ивановская область, Иваново, Ленинский, Профессиональная ,35,56.9509009,40.9821342,2300000
2082.520537,65,41,8,,3,False,5,1978,5,2,,3,5,,False,True,False,,,,,,,False,33," Иваново,  Фрунзенский район, Летчика Захарова ул,21",Ивановская область, Иваново, Фрунзенский, Летчика Захарова ,21,56.978515,40.9695419,2500000
1352.889657,50,30,8,,2,False,7,1981,9,2,,3,5,,True,True,False,,,,,,,False,34," Иваново,  Фрунзенский район, Кузнецова ул,54",Ивановская область, Иваново, Фрунзенский, Кузнецова ,54,57.0052636,40.9546967,2490000
2730.516903,106,38,46,,3,False,2,,5,,,,,,False,False,False,,,,,,,False,35," Иваново,  Ленинский район, Полевая 1-я ул,36а",Ивановская область, Иваново, Ленинский, Полевая 1-я ,36а,56.972821,40.976469,6700000
4868.942909,41,17,12,,1,False,11,1993,12,2,,3,5,,False,True,False,,,,,,,False,36," Иваново,  Октябрьский район, Революционная ул,26,корп.1",Ивановская область, Иваново, Октябрьский, Революционная ,26,57.0314455,40.9213908,2030000
2175.884094,32,9,4,,2,False,1,1959,3,1,,1,5,,False,True,False,,,,,,,False,37," Иваново,  Фрунзенский район, Нефедова ул,14",Ивановская область, Иваново, Фрунзенский, Нефедова ,14,56.9779656,40.9649649,1400000
405.8881673,52,22,13,,1,False,1,,8,,,,,,False,False,False,,,,,,,False,38," Иваново,  Фрунзенский район, Зеленая ул,39,корп.1",Ивановская область, Иваново, Фрунзенский, Зеленая ,39,56.9939806,40.9682539,2100000
3525.357774,57,27,12,,2,False,1,2017,9,2,,3,5,,True,True,False,,,,,,,False,39," Иваново,  Фрунзенский район, Ташкентская ул,110",Ивановская область, Иваново, Фрунзенский, Ташкентская ,110,56.9659747,40.9616183,2380000
4817.603077,41,19,11,,1,False,6,2006,10,2,,3,4,,False,True,False,,,,,,,False,40," Иваново,  Ленинский район, Куконковых ул,130",Ивановская область, Иваново, Ленинский, Куконковых ,130,56.9641097,41.0226166,2050000
405.8881673,120,65,30,,3,False,8,,8,,,,,,False,False,False,,,,,,,False,41," Иваново,  Фрунзенский район, Зеленая ул,39,корп.1",Ивановская область, Иваново, Фрунзенский, Зеленая ,39,56.9939806,40.9682539,6400000
3596.487318,34,17,11,,1,False,3,2016,14,2,,3,5,,True,True,False,,,,,,,False,42," Иваново,  Советский район, Свободы ул,21",Ивановская область, Иваново, Советский, Свободы ,21,57.0173165,41.0178461,1840000
3089.354643,30,19,7,,1,False,5,,5,,,,,,False,False,False,,,,,,,False,43," Иваново,  Советский район, Свободы ул,39,корп.Б",Ивановская область, Иваново, Советский, Свободы ,39,57.016011,41.008888,1400000
3622.47371,44,30,5,,2,False,1,,5,,,,,,False,False,False,,,,,,,False,44," Иваново,  Ленинский район, Чапаева пер,19",Ивановская область, Иваново, Ленинский, Чапаева пер,19,56.971725,41.0085849,1430000
